index,w1,w5,q_max,bitline_min,temper,alter#
$DATA1,SOURCE='PrimeSim,HSPICE',VERSION='U-2023.03,linux6',PARAM_COUNT=3,.TITLE,'.include,'/home/taf27/hspice/libs/cmos_180nm_l49.lib''
index,w1,w5,q_max,bitline_min,temper,alter#
284,9.0000,20.0000,0.2047,1.103e-06,25.0000,1
285,10.0000,19.0000,0.1859,9.271e-07,25.0000,1
286,11.0000,18.0000,0.1702,7.974e-07,25.0000,1
287,12.0000,17.0000,0.1569,6.933e-07,25.0000,1
288,13.0000,16.0000,0.1455,6.147e-07,25.0000,1
289,14.0000,15.0000,0.1357,5.166e-07,25.0000,1
290,15.0000,14.0000,0.1270,4.456e-07,25.0000,1
291,16.0000,13.0000,0.1194,3.938e-07,25.0000,1
292,17.0000,12.0000,0.1127,3.600e-07,25.0000,1
293,18.0000,11.0000,0.1067,3.103e-07,25.0000,1
294,19.0000,10.0000,0.1012,2.517e-07,25.0000,1
295,20.0000,9.0000,9.633e-02,2.293e-07,25.0000,1
296,10.0000,20.0000,0.1859,9.753e-07,25.0000,1
297,11.0000,19.0000,0.1702,8.415e-07,25.0000,1
298,12.0000,18.0000,0.1569,7.375e-07,25.0000,1
299,13.0000,17.0000,0.1455,6.527e-07,25.0000,1
300,14.0000,16.0000,0.1357,5.729e-07,25.0000,1
301,15.0000,15.0000,0.1270,4.779e-07,25.0000,1
302,16.0000,14.0000,0.1194,4.249e-07,25.0000,1
303,17.0000,13.0000,0.1127,3.851e-07,25.0000,1
304,18.0000,12.0000,0.1067,3.387e-07,25.0000,1
305,19.0000,11.0000,0.1012,2.775e-07,25.0000,1
306,20.0000,10.0000,9.633e-02,2.545e-07,25.0000,1
307,11.0000,20.0000,0.1702,8.858e-07,25.0000,1
308,12.0000,19.0000,0.1569,7.779e-07,25.0000,1
309,13.0000,18.0000,0.1455,6.905e-07,25.0000,1
310,14.0000,17.0000,0.1357,6.095e-07,25.0000,1
311,15.0000,16.0000,0.1270,5.105e-07,25.0000,1
312,16.0000,15.0000,0.1194,4.564e-07,25.0000,1
313,17.0000,14.0000,0.1127,4.012e-07,25.0000,1
314,18.0000,13.0000,0.1067,3.846e-07,25.0000,1
315,19.0000,12.0000,0.1012,3.033e-07,25.0000,1
316,20.0000,11.0000,9.633e-02,2.630e-07,25.0000,1
317,12.0000,20.0000,0.1569,8.195e-07,25.0000,1
318,13.0000,19.0000,0.1455,7.289e-07,25.0000,1
319,14.0000,18.0000,0.1357,6.450e-07,25.0000,1
320,15.0000,17.0000,0.1270,5.667e-07,25.0000,1
321,16.0000,16.0000,0.1194,4.992e-07,25.0000,1
322,17.0000,15.0000,0.1127,4.302e-07,25.0000,1
323,18.0000,14.0000,0.1067,4.004e-07,25.0000,1
324,19.0000,13.0000,0.1012,3.134e-07,25.0000,1
325,20.0000,12.0000,9.634e-02,2.877e-07,25.0000,1
326,13.0000,20.0000,0.1455,7.665e-07,25.0000,1
327,14.0000,19.0000,0.1357,6.803e-07,25.0000,1
328,15.0000,18.0000,0.1270,6.011e-07,25.0000,1
329,16.0000,17.0000,0.1194,5.303e-07,25.0000,1
330,17.0000,16.0000,0.1127,4.716e-07,25.0000,1
331,18.0000,15.0000,0.1067,4.241e-07,25.0000,1
332,19.0000,14.0000,0.1012,3.383e-07,25.0000,1
333,20.0000,13.0000,9.634e-02,2.965e-07,25.0000,1
334,14.0000,20.0000,0.1357,7.144e-07,25.0000,1
335,15.0000,19.0000,0.1270,6.357e-07,25.0000,1
336,16.0000,18.0000,0.1194,5.621e-07,25.0000,1
337,17.0000,17.0000,0.1127,5.005e-07,25.0000,1
338,18.0000,16.0000,0.1067,4.512e-07,25.0000,1
339,19.0000,15.0000,0.1012,3.651e-07,25.0000,1
340,20.0000,14.0000,9.634e-02,3.212e-07,25.0000,1
341,15.0000,20.0000,0.1270,6.710e-07,25.0000,1
342,16.0000,19.0000,0.1194,5.938e-07,25.0000,1
343,17.0000,18.0000,0.1127,5.295e-07,25.0000,1
344,18.0000,17.0000,0.1067,4.716e-07,25.0000,1
345,19.0000,16.0000,0.1012,4.081e-07,25.0000,1
346,20.0000,15.0000,9.634e-02,3.624e-07,25.0000,1
347,16.0000,20.0000,0.1194,6.255e-07,25.0000,1
348,17.0000,19.0000,0.1127,5.584e-07,25.0000,1
349,18.0000,18.0000,0.1067,4.983e-07,25.0000,1
350,19.0000,17.0000,0.1012,4.356e-07,25.0000,1
351,20.0000,16.0000,9.634e-02,3.872e-07,25.0000,1
352,17.0000,20.0000,0.1127,5.874e-07,25.0000,1
353,18.0000,19.0000,0.1067,5.251e-07,25.0000,1
354,19.0000,18.0000,0.1012,4.729e-07,25.0000,1
355,20.0000,17.0000,9.635e-02,4.269e-07,25.0000,1
356,18.0000,20.0000,0.1067,5.522e-07,25.0000,1
357,19.0000,19.0000,0.1012,4.982e-07,25.0000,1
358,20.0000,18.0000,9.635e-02,4.497e-07,25.0000,1
359,19.0000,20.0000,0.1012,5.238e-07,25.0000,1
360,20.0000,19.0000,9.635e-02,4.738e-07,25.0000,1
361,20.0000,20.0000,9.635e-02,4.981e-07,25.0000,1
